term,weight
columbus atm,1.800745620832846
atm m053,1.7502296543740872
branch m081,1.5016745123160937
online m067,1.473526366975005
207,1.4491797931806245
credit omaha,1.4282698961122202
164,1.3694204247501436
debit columbus,1.3546452402997444
m020,1.3494648297466179
d000208,1.3218767870280443
m053,1.3154554532766234
152 134,1.2542815758121018
62 152,1.2542815758121018
134 92,1.2542815758121018
jacksonville branch,1.2490373016966254
paso branch,1.226817071789964
83 183,1.1786853816421439
193 83,1.1786853816421439
134,1.1670235807292946
d000400,1.160596552708662
